x,reaction_progress
0.0,0.0
2e-05,4.42271137134081e-12
4e-05,8.845394570751106e-12
6.000000000000001e-05,1.3268105942091916e-11
8e-05,1.7690789141502213e-11
0.0001,2.2113500512843022e-11
0.00012,2.6536183712253317e-11
0.00014,3.095889508359413e-11
0.00016,3.5381606454934934e-11
0.00018,3.980428965434523e-11
0.0002,4.4227001025686045e-11
0.00022,4.8649684225096337e-11
0.00024,5.307239559643715e-11
0.00026,5.749507879584744e-11
0.00028,6.191779016718825e-11
0.0003,6.634047336659855e-11
0.00032,7.076318473793937e-11
0.00034,7.518586793734966e-11
0.00036,7.960857930869046e-11
0.00038,8.403129068003127e-11
0.0004,8.845397387944157e-11
0.00042,9.28767134227129e-11
0.00044,9.729934027826216e-11
0.00046,1.0172205164960298e-10
0.00048,1.0614476302094378e-10
0.0005,1.1056744622035408e-10
0.00052,1.1499015759169488e-10
0.00054,1.194128407911052e-10
0.00056,1.23835552162446e-10
0.00058,1.2825823536185629e-10
0.0006,1.326809467331971e-10
0.00062,1.3710362993260738e-10
0.00064,1.415263131320177e-10
0.00066,1.459490245033585e-10
0.00068,1.503717077027688e-10
0.0007,1.547943909021791e-10
0.00072,1.592171022735199e-10
0.00074,1.636397854729302e-10
0.00076,1.68062496844271e-10
0.00078,1.724851518717508e-10
0.0008,1.769078632430916e-10
0.00082,1.813305464425019e-10
0.00084,1.857532296419122e-10
0.00086,1.9017591284132248e-10
0.00088,1.945986242126633e-10
0.0009,1.9902125106821258e-10
0.00092,2.0344396243955338e-10
0.00094,2.0786664563896367e-10
0.00096,2.1228932883837397e-10
0.00098,2.1671201203778426e-10
0.001,2.2113469523719455e-10
0.00102,2.2555737843660487e-10
0.00104,2.2998006163601516e-10
0.00106,2.3440274483542545e-10
0.00108,2.3882539986290523e-10
0.0011,2.432480830623155e-10
0.00112,2.476707662617258e-10
0.00114,2.520934494611361e-10
0.00116,2.565161044886159e-10
0.00118,2.6093878768802617e-10
0.0012,2.653614708874365e-10
0.00122,2.697841259149163e-10
0.00124,2.742068091143266e-10
0.00126,2.7862946414180636e-10
0.00128,2.8305217551314717e-10
0.0013,2.8747480236869643e-10
0.00132,2.918974573961762e-10
0.00134,2.963201405955865e-10
0.00136,3.007427956230663e-10
0.00138,3.0516545065054606e-10
0.0014,3.0958810567802583e-10
0.00142,3.1401076070550566e-10
0.00144,3.1843347207684647e-10
0.00146,3.2285609893239573e-10
0.00148,3.272787539598755e-10
0.0015,3.317014371592858e-10
0.00152,3.3612406401483506e-10
0.00154,3.405466908703843e-10
0.00156,3.449693458978641e-10
0.00158,3.493920009253439e-10
0.0016,3.5381465595282366e-10
0.00162,3.582373109803035e-10
0.00164,3.6265993783585275e-10
0.00166,3.6708259286333253e-10
0.00168,3.715052478908123e-10
0.0017,3.7592787474636157e-10
0.00172,3.8035052977384134e-10
0.00174,3.847731566293906e-10
0.00176,3.891958116568704e-10
0.00178,3.9361846668435016e-10
0.0018,3.9804106536796896e-10
0.00182,4.0246372039544874e-10
0.00184,4.06886347250998e-10
0.00186,4.1130897410654726e-10
0.00188,4.157316009620965e-10
0.0019,4.201542278176458e-10
0.00192,4.2457685467319505e-10
0.00194,4.289994815287443e-10
0.00196,4.334221083842936e-10
0.00198,4.378447352398429e-10
0.002,4.4226736209539215e-10
0.00202,4.466899607790109e-10
0.00204,4.511126158064907e-10
0.00206,4.555352144901094e-10
0.00208,4.599578413456587e-10
0.0021,4.6438046820120795e-10
0.00212,4.688030668848268e-10
0.00214,4.73225693740376e-10
0.00216,4.776482924239947e-10
0.00218,4.82070919279544e-10
0.0022,4.864935179631628e-10
0.00222,4.909161166467815e-10
0.00224,4.953387435023308e-10
0.00226,4.997613421859496e-10
0.00228,5.041839690414988e-10
0.0023,5.086065395531871e-10
0.00232,5.130291382368058e-10
0.00234,5.174517369204246e-10
0.00236,5.218743356040433e-10
0.00238,5.262969342876621e-10
0.0024,5.307195329712808e-10
0.00242,5.351421316548996e-10
0.00244,5.395647303385183e-10
0.00246,5.439873008502066e-10
0.00248,5.484098995338253e-10
0.0025,5.528324982174441e-10
0.00252,5.572550969010628e-10
0.00254,5.616776674127511e-10
0.00256,5.661002660963699e-10
0.00258,5.705228366080581e-10
0.0026,5.749454352916768e-10
0.00262,5.793680058033651e-10
0.00264,5.837905763150534e-10
0.00266,5.882131468267416e-10
0.00268,5.926357455103603e-10
0.0027,5.970583160220486e-10
0.00272,6.014809147056673e-10
0.00274,6.059034570454251e-10
0.00276,6.103260275571132e-10
0.00278,6.147485980688015e-10
0.0028,6.191711685804898e-10
0.00282,6.235937109202475e-10
0.00284,6.280162814319357e-10
0.00286,6.32438851943624e-10
0.00288,6.368614224553122e-10
0.0029,6.4128396479507e-10
0.00292,6.457065353067582e-10
0.00294,6.501290776465159e-10
0.00296,6.545516481582042e-10
0.00298,6.589741904979619e-10
0.003,6.633967610096501e-10
0.00302,6.678193033494079e-10
0.00304,6.722418456891656e-10
0.00306,6.766643880289233e-10
0.00308,6.810869303686811e-10
0.0031,6.855094727084388e-10
0.00312,6.89932043220127e-10
0.00314,6.943545573879542e-10
0.00316,6.987770997277119e-10
0.00318,7.031996420674697e-10
0.0032,7.076221844072274e-10
0.00322,7.120447267469851e-10
0.00324,7.164672690867428e-10
0.00326,7.208897832545701e-10
0.00328,7.253123255943278e-10
0.0033,7.29734839762155e-10
0.00332,7.341573821019128e-10
0.00334,7.385798962697399e-10
0.00336,7.430024386094977e-10
0.00338,7.474249527773249e-10
0.0034,7.518474669451521e-10
0.00342,7.562699529410488e-10
0.00344,7.606924952808066e-10
0.00346,7.651150376205643e-10
0.00348,7.695375517883915e-10
0.0035,7.739600659562187e-10
0.00352,7.783825519521154e-10
0.00354,7.828050661199426e-10
0.00356,7.872275802877698e-10
0.00358,7.91650094455597e-10
0.0036,7.960726086234243e-10
0.00362,8.00495094619321e-10
0.00364,8.049176087871481e-10
0.00366,8.093400947830448e-10
0.00368,8.137626089508721e-10
0.0037,8.181850949467688e-10
0.00372,8.22607609114596e-10
0.00374,8.270301232824232e-10
0.00376,8.314525811063894e-10
0.00378,8.358750671022861e-10
0.0038,8.402975530981828e-10
0.00382,8.447200390940795e-10
0.00384,8.491425250899762e-10
0.00386,8.535650110858729e-10
0.00388,8.579874970817696e-10
0.0039,8.624099830776663e-10
0.00392,8.66832469073563e-10
0.00394,8.712549268975291e-10
0.00396,8.756774128934259e-10
0.00398,8.800998988893226e-10
0.004,8.845223567132888e-10
0.00402,8.889448427091854e-10
0.00404,8.933673005331517e-10
0.00406,8.977897583571179e-10
0.00408,9.022122443530146e-10
0.0041,9.066347303489113e-10
0.00412,9.110571600009469e-10
0.00414,9.154796178249131e-10
0.00416,9.199020756488793e-10
0.00418,9.243245334728455e-10
0.0042,9.287469912968116e-10
0.00422,9.331694491207778e-10
0.00424,9.37591906944744e-10
0.00426,9.420143647687102e-10
0.00428,9.464367944207459e-10
0.0043,9.50859252244712e-10
0.00432,9.552816818967478e-10
0.00434,9.59704139720714e-10
0.00436,9.641265975446802e-10
0.00438,9.685490271967159e-10
0.0044,9.729714850206819e-10
0.00442,9.773939146727178e-10
0.00444,9.818163724966838e-10
0.00446,9.862388021487194e-10
0.00448,9.906612599726857e-10
0.0045,9.950837177966519e-10
0.00452,9.995061756206181e-10
0.00454,1.0039286334445843e-09
0.00456,1.008351119440481e-09
0.00458,1.0127736054363777e-09
0.0046,1.0171961196042049e-09
0.00462,1.0216186901158932e-09
0.00464,1.0260412887995118e-09
0.00466,1.0304639438269916e-09
0.00468,1.034886683370263e-09
0.0047,1.0393095356012564e-09
0.00472,1.0437325286919023e-09
0.00474,1.0481557189860618e-09
0.00476,1.0525791909995266e-09
0.00478,1.0570030292480879e-09
0.0048,1.061427346419468e-09
0.00482,1.0658523397171804e-09
0.00484,1.0702782063447387e-09
0.00486,1.0747052561933786e-09
0.00488,1.0791339118420578e-09
0.0049,1.0835646803855256e-09
0.00492,1.0879983788097667e-09
0.00494,1.0924359086165578e-09
0.00496,1.0968786502304937e-09
0.00498,1.1013283503112667e-09
